id	name	estdate	icon	score	about	factions_id
1	Galconicorn	2014-03-08	AQ4OBAASOz9VVVVVWVVVVaVVVVa/VVVq/VVaqtVWqq1Vaqr9VZqr9VXqv1V+qvVfqq9V6qr1Xqqr	0	Dreams do come true!	
2	GNAA	2014-03-08	AQ4OBAAqFT8AAAAAAAAAABAAAA18AAPRQAAxBAADEEAAMaQAAx9wADEEAAMQQAA99AAAAAAAAAAA	0	Neutralize the Galaxy	
3	powderKEG	2014-03-08	AQ4OBAA8FD9VUAFVVUFVAFVVQAVVQAKqqAAgioACCAgFIoKAViQpAGFAlAIUiVAlqUUFQBQBUAVQ	0	Boom	
4	UltraClan	2014-03-09	AQ4OBAAwOAdVVVVVVX/9X//qlf/+gV//6hX//qFf/+oV//qhV/6oEl+qASlqgFCmoBUCqAVQAAFV	0	We R UlTR4!	
5	EGP	2014-03-14	AQ4OBAAgOAGpVVVaZVVV+ZVVX+aWlf+pqV/qqlX6+pVevqqVr6upW+r6Zfq+uZ6vr+ar6/+q+v/6	0	The Elite	
6	goats	2014-04-09	AQ4OBAAwDAcAAAAAAAAABUAVAEUFEABVUAARVEAAVVAABVUAABVAAAEEAAAVQAAAUAAAAAAAAAAA	0	meh	
7	BETTERTEST	2014-06-18	AQ4OBAAwDAdVQCqlVAKqVUAqpVQCqlVAKqVUAqpVQCqlVAKqVUAqpVQCqlVAKqVUAqpVQCqlVAKq	0	Losing iz 4 l0z3rz	
8	Fury59	2014-06-19	AQ4OBAAwDAcAAAAAAAAAAAAAAVAVQBVAVUFVQVUVVVVRVVVVFVVVUFVVVQVVVVBVVVUFVVVQFVVV	0	We're the best!	
9	Pokemanz	2014-06-19	AQ4OBAAwDAcAAAABVXlaH/+Vof/5Wh//laH/+VoVV5Wh//laH/+Vof/5Wh//laH/+Vof/6qgAAAA	0	Gotta Catch Em' Mostly!	
10	Neverwins	2014-06-19	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0		
11	tinbots	2014-06-23	AQ4OBAA7NjFVar/1Vqv/VWq/9VYA/1UCg/VCqz9UaoP1Qqj/VSgP9VCg/0VKg/VWqz9QAA/1Vqj/	0	i like you	
12	Guite	2014-06-28	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Guite	
13	Goat-Barons	2014-07-12	AQ4OBAAkPyrAAAAz8AD8A8A8AA8PAABaUAD2qfA/Wl/DwKA8MGqQwAWlAAAVQAABBAAABQAAAAAA	0	Test clan only--inactive	
14	PWNStarzZ	2014-07-12	AQ4OBAAgAD1VVVVVaqqVVaqlVVapVVWqpVVr/pVquuqWq/6pVrqpVVuqVVVqlVVaqlVWqqlVVVVV	0	Active Players PWN	
15	EmPireKiller	2014-07-14	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	EPK	
16	The_Order	2014-07-25	AQ4OBAAHDD8AAAAAwAAAAFVQwBplQAamqQBqWpAGpZkAZWpQBqalAFpaUAFlpAMFVQAAAAMAAAAA	0	Innately Superior	
17	Unknown	2014-07-25	AQ4OBAA/AR0AAAAAGAkABsDkAbQHkBtAeQG0B5AbQHkBtEeQG115Abe3kBrq6QBqqkABVVAAAAAA	0	Unknown.	
18	gc2	2014-07-26	AQ4OBAAgAhAgqCoAAgCACoAAoCAqAgAAiooKgCCAIAAQABVfBVVf1d31/31/X/9f9//39/3/////	0	Old time pros	
19	butt	2014-08-30	AQ4OBAAwDAcAAAAAAAAAAAAAAAAAAAMAPADwEPAMAQMAwBAwDAEDAMAQMAwBAwDwIPAD//wAAAAA	0	i like big butts	
20	Galconightes	2014-09-01	AQ4OBAAXMDwAAAAAAAAABAUBAFVVUAVaVQBdp1AFWlUAaqqQBqqpAFWlUAXadQBVpVABVVQAAAAA	0	we accept new players!	
21	Teamsters	2014-10-28	AQ4OBAAwDAf/wD//8AD//AUD/wFUD8BVUDAVVUAFVVUAAVQAABVAD8FUP/wVQ//BVD/8AAP/wAA/	0	PHARAOH'S UNITE!!!	
22	CRO-Elite	2014-11-01	AQ4OBAAwPwNVVVVVVVVVVVVVVVVVVVVVVVqqqqqqqqqqqqqqqqqqr///////////////////////	0	Croatians only.	
23	FF-	2014-11-08	AQ4OBAAqMAL//////////////+qq//qqr/+qq//6v///q///+qr//6q///q///+r///6v///////	0	Fearless Force	
24	AbyssalPower	2014-11-20	AQ4OBAAEBARVal/1VVV/VWlX9Var/1AisDUSKzNRIrM1AgMDUSIz9RIjP1EgM/VWq/9VarV1VqvX	0	ABP	
25	Fearless	2014-11-28	AQ4OBAAwDAcAAAAAAAAABUAVAVUFVBQQUEFABQAVAFQBVAVQFABQAUAFABQAUABAAQAAAAAAAAAA	0	http://fearlessforce.tk	
26	Galconians	2014-11-30	AQ4OBAA/Az+qqqqqqqqqqqqqqq+vqqr6+qqqqqqqqqqqvqvqqvr6qqv+qqqqqqqqqqqqqqqqqqqq	17	be friendly,be sportsman	972
27	QUEBEC	2014-12-05	AQ4OBAABPyD/+lVf/6VV//pVX/+lVf/6VV//pVWqqqqqqqqqVVr/9VWv/1Va//VVr/9VWv/1Va//	0	QC-FR	
28	FazeClan	2014-12-05	AQ4OBAAwDAcAAAAAAAAACoAqAKgCoAqAKgACqAAAKoAAAqgAACqAAKgCoAqAKgCoAqAAAAAAAAAA	0	Inevitable conquest.	
29	CECMinecraft	2014-12-09	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Guance	
30	Ring-s_Team	2014-12-10	AQ4OBAACPyBVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	La confrerie de l'anneau	
31	CRL	2014-12-11	AQ4OBAAwDAf/////////+qqq/5qqr/qVWv+nUa/6VFr/pRWv+kXa/6VWr/qqpv+qqq//////////	0	ESC	
32	Solid_State	2014-12-11	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Only the best Zerglings.	
33	ezgame	2014-12-11	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	#ezgame... too easy.	
34	GalconEmpire	2014-12-11	AQ4OBAAwDAfwAABfwAAVPwAFQPwBUAPwVAAP1QAANUAAAVwABFfzAFUP8AFAPABFDzBQAAD1AAAP	0	We play Galcon	
35	Guds_crew	2014-12-12	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Here we go!	
36	BlitzBandits	2014-12-12	AQ4OBAAwDAeqqqqq0AB6tAAB6QAABoFQVCgQRBKBBEEoFQVCgQRBKBUFQpAAAGtAAB6tAAeqqqqq	0	Feed, Fight, and Feign	
37	FIN	2014-12-13	AQ4OBAAAAz9VVVVVVVVVVVVVV/r//X+v/9f6//1qqqqWqqqpf6//1/r//X+v/9VVVVVVVVVVVVVV	0	Suomi Finland Perkele	
38	Fortress	2014-12-17	AQ4OBAA/FRVVVVVVRVVVUBVVValUVVmVAVWpW5VZlZlaqVqqMxXMwAOsAAT68QAAAAAAFQAAAVAA	0	Forming Strong Community	
39	Nickelback69	2014-12-17	AQ4OBAAwDAdVVVVVVVVVQVVVUBVVVRAAAVEVUQUBVRRRFVFFEVUQUQAAFQFVVVQVVVVVVVVVVVVV	0	Nickelbacks so straight!	
40	Singapore	2014-12-17	AQ4OBAA/MAeqqqqqVqqqlqmqqaqqqpqamqmqqqqWpmqqVqqqqqqqpVVVVVVVVVVVVVVVVVVVVVVV	0	makan chicken rice	
41	Ghosts	2014-12-18	AQ4OBAADDwAAAAAAAAAADD/DAP//8A///wP///w+v+vD6/68P///w////D///8P///ww8PDAAAAA	2916	Always Watching	970
42	TouchArcade	2014-12-18	AQ4OBAA8KhUAAAAAAAAAAFAAAAVAABVWqABVv+AFW/4AVa/gBVqqABWq4ABSvgABCoAAAAAAAAAA	0	Glory To The Comments!	
43	death	2014-12-18	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	kill em all	
44	zuerich	2014-12-19	AQ4OBAAwDAcAAAAMAAAA8AAAD8AAAP8AAA/8AAD/8AAP/8AA//8AD//8AP//8A///8D///8P///8	0	zuercher clan:)	
45	Exomates	2014-12-19	AQ4OBAAwDAcAAAABVVVQFVVVQVVVUBQAAAFAAAAVVVUBVVVUFVVVAUAAABQAAAFVVVQVVVUAAAAA	0	Victoire !	
46	Rapture	2014-12-19	AQ4OBAAwDD/P/3/wNVX/A89fMAw388Dw/DwDz8/DPDD8MPw/ww8P/DDD78MPCvw+qr////v/////	0	Active Players Only	
47	Grows	2014-12-19	AQ4OBAA/MAcAAAAAAAgAAAKgAACqgAAqagAOlagD+moA3+qANXegAN1cAAP3AAAPwAAAMAAAAAAA	0	Punch, Kill, Brawl.	
