id	x	y	name	value	clans_id	clans_name	color	routes	factions_id	production
1	257	246	War-of-Art-1	1238	1072	TheNewOrder-	00ffa4	-97;-181;-443;-511	970	59
2	-84	346	Mins-2	124557	1072	TheNewOrder-	00ffa4	-98;-182;+444	970	42
3	-341	100	Secondcity	4084	1072	TheNewOrder-	00ffa4	-99;-183;+439	970	90
4	-257	-246	J-Girl-14	208	1072	TheNewOrder-	00ffa4	+100;+184;+440	970	25
5	84	-346	Hi-5	10868	1072	TheNewOrder-	00ffa4	-101;-185;+441	970	43
6	341	-100	PurpleHaze-6	1184	1072	TheNewOrder-	00ffa4	-102;-186;-494;-503	970	95
7	-257	246	watch-out	15706	41	Ghosts	00ffa4	-103;-187;-435;-486	970	31
8	-341	-100	stopblizzard	6701	1072	TheNewOrder-	00ffa4	-104;-188;-436	970	94
9	-84	-346	Delphi-9	1216	1072	TheNewOrder-	00ffa4	-105;-189;-437	970	73
10	257	-246	fromhere	27838	41	Ghosts	00ffa4	-106;-190;-438	970	52
11	341	100	NotYet	58451	1072	TheNewOrder-	00ffa4	+107;-191;-433;-511	970	97
12	84	346	William-Shat	24239	1072	TheNewOrder-	00ffa4	+108;+192;+434	970	59
13	442	435	CalpeMons	281	1072	TheNewOrder-	00ffa4	-25;-205;-445	970	38
14	-161	599	HIGHLAND-14	332	1072	TheNewOrder-	00ffa4	-26;-206;-446	970	23
15	-599	159	Royal_is	335	1712	True.Blue	ff0027	-27;-207;-447	973	70
16	-435	-441	Gosts-16	14598	1637	All-Star	00abff	-28;-208;-448	971	88
17	164	-598	TB1	1646	833	Resistance	00ffa4	+29;+209;+449	970	43
18	599	-160	Hole-18	801	1072	TheNewOrder-	00ffa4	-30;+210;-450	970	32
19	-435	441	JazzyHole-91	14285	1072	TheNewOrder-	00ffa4	-31;-211;-451	970	99
20	-599	-159	Mars	4573	1072	TheNewOrder-	00ffa4	-32;-212;-452;-505	970	97
21	-162	-598	Ourssss	14003	1072	TheNewOrder-	00ffa4	-33;-213;-453	970	87
22	441	-435	DcnJohn	1300	833	Resistance	00ffa4	-34;-214;-454	970	62
23	599	161	Raw-waR	715	833	Resistance	00ffa4	-35;+215;-455;-507	970	34
24	158	599	djr-24	2051	1072	TheNewOrder-	00ffa4	-36;-216;-456	970	65
25	414	463	fuuuuuubuz	46982	1072	TheNewOrder-	00ffa4	-49;-205	970	99
26	-192	591	Ludicrous-26	1192	1072	TheNewOrder-	00ffa4	-50;-206	970	64
27	-609	123	TownWall	28506	1712	True.Blue	ff0027	-51;-207	973	50
28	-411	-466	CorrectStar	284	1637	All-Star	00abff	-52;-208	971	17
29	193	-590	Mins-29	617	833	Resistance	00ffa4	-53;-209	970	29
30	608	-128	JCRegina-30	283	1072	TheNewOrder-	00ffa4	-54;-210	970	68
31	-410	467	ThirtyOne	83	1072	TheNewOrder-	00ffa4	-55;-211	970	20
32	-610	-120	JerseyBoyz	5525	1072	TheNewOrder-	00ffa4	-56;-212	970	55
33	-199	-589	tempertrash	7469	1072	TheNewOrder-	00ffa4	-57;-213;-492	970	45
34	412	-465	GROK	9727	833	Resistance	00ffa4	-58;-214	970	90
35	608	127	French-35	40501	41	Ghosts	00ffa4	+59;-215;+507	970	70
36	196	589	PackOfWolves	1268	1072	TheNewOrder-	00ffa4	-60;-216	970	76
37	216	408	fubuz	31003	1072	TheNewOrder-	00ffa4	-48;+192	970	68
38	-241	393	Kroneau	14893	1072	TheNewOrder-	00ffa4	-43;-187	970	97
39	-461	-25	BlackHoleSun	54093	1637	All-Star	00abff	44;188	971	41
40	-216	-407	Sweettooth	25469	1072	TheNewOrder-	00ffa4	-45;-189;-497	970	93
41	242	-392	CheeseHater	13155	833	Resistance	00ffa4	-46;-190	970	76
42	461	10	Robinson-42	26181	1072	TheNewOrder-	00ffa4	-47;+191;-494	970	66
43	-207	413	WagonWheel	561	1072	TheNewOrder-	00ffa4	-182	970	41
44	-461	12	CityEdge	87661	1072	TheNewOrder-	00ffa4	-183	970	88
45	-252	-387	betravior	263	1072	TheNewOrder-	00ffa4	-184;-497	970	63
46	211	-411	Itches	69557	1072	TheNewOrder-	00ffa4	-185	970	45
47	461	-21	Sidestar	83	833	Resistance	00ffa4	-186;-494	970	20
48	248	389	AOW6	233	1072	TheNewOrder-	00ffa4	-181	970	56
49	446	554	RoyalTeapot	13146	1072	TheNewOrder-	00ffa4	-157	970	90
50	-257	664	ZepHERwho50	985	1072	TheNewOrder-	00ffa4	-158;-199;-487	970	49
51	-703	109	StrangerLove	395	1712	True.Blue	ff0027	-159;-200	973	46
52	-446	-554	EndersRest	10151	1708	ArtOfWar	00abff	-160	971	76
53	257	-664	MAPLESUN-53	14865	833	Resistance	00ffa4	-161	970	96
54	703	-109	SausagSplosh	701	1072	TheNewOrder-	00ffa4	-162;+203	970	34
55	-446	554	stoptno	63	1072	TheNewOrder-	00ffa4	-502	970	15
56	-703	-109	FudgeTrumpet	5975	1072	TheNewOrder-	00ffa4	164;-482;500	970	25
57	-257	-664	Impossible	1731	1072	TheNewOrder-	00ffa4	165;-492	970	32
58	446	-554	TheQuid	659	833	Resistance	00ffa4	-166;-197	970	60
59	703	109	Thisone	26014	1072	TheNewOrder-	00ffa4	-167;+198	970	58
60	257	664	RetiredD_Den	1340	1072	TheNewOrder-	00ffa4	-168;-193;-484	970	81
61	544	498	RetireDabest	17301	1072	TheNewOrder-	00ffa4	-241;-313;-397;-409	970	86
62	-147	702	ArtofLil	484	1072	TheNewOrder-	00ffa4	-134;-242;-314;-398;-446	970	29
63	-692	223	A-O-W	238	1712	True.Blue	ff0027	-135;-243;-315;-399;-447	973	30
64	-543	-495	joyce	1057	1637	All-Star	00abff	-244;-316;-400;-448	971	27
65	149	-704	RustyHair	4186	833	Resistance	00ffa4	-137;-245;-317;-401;+449	970	82
66	699	-222	ONO	4396	41	Ghosts	00ffa4	+246;+318;+402;+450	970	54
67	-543	495	MutatedEgg	3341	1072	TheNewOrder-	00ffa4	-247;-319;-379;-403;-451	970	83
68	-694	-222	Starbase-65	30484	1637	All-Star	00abff	140;248;320;404;452	971	89
69	-152	-710	Turd-Helix	113	833	Resistance	00ffa4	-141;-249;321;405;-453	970	27
70	536	-481	Heal-70	1500	833	Resistance	00ffa4	+142;-250;+322;+406;-454;+501	970	45
