ts	stats_id	users_id	clans_id	factions_id	stars_id	points	status	events_id	xclans_id	xfactions_id
2020-06-07 11:01:01	34882431	736245	1678	790	111	2983	attack	128	1102	791
2020-06-07 11:01:57	34882433	715662	1523	790	450	2296	defense	128	1523	790
2020-06-07 11:01:59	34882434	650063	1332	792	323	2244	ally	128	76	792
2020-06-07 11:03:13	34882437	639366	1386	791	165	1661	attack	128	1332	792
2020-06-07 11:04:40	34882443	736245	1678	790	111	2790	conquer	128	1102	791
2020-06-07 11:04:53	34882445	639366	1386	791	165	1016	conquer	128	1332	792
2020-06-07 11:06:11	34882449	639366	1386	791	165	730	defense	128	1386	791
2020-06-07 11:06:26	34882450	591146	1693	791	218	3824	defense	128	1693	791
2020-06-07 11:07:20	34882453	700292	1678	790	446	470	defense	128	1678	790
2020-06-07 11:07:42	34882456	639366	1386	791	165	850	defense	128	1386	791
2020-06-07 11:07:48	34882457	591146	1693	791	218	3079	defense	128	1693	791
2020-06-07 11:08:08	34882459	646017	1693	791	65	426	defense	128	1693	791
2020-06-07 11:08:22	34882460	715662	1523	790	450	2172	defense	128	1523	790
2020-06-07 11:09:21	34882466	639366	1386	791	165	957	defense	128	1386	791
2020-06-07 11:09:35	34882468	591146	1693	791	218	4114	defense	128	1693	791
2020-06-07 11:10:04	34882470	6584	76	792	287	2748	attack	128	750	790
2020-06-07 11:10:28	34882471	153	26	790	151	511	defense	128	26	790
2020-06-07 11:11:21	34882474	639366	1386	791	165	1135	defense	128	1386	791
2020-06-07 11:11:53	34882475	591146	1693	791	218	1655	defense	128	1693	791
2020-06-07 11:13:00	34882479	591146	1693	791	218	2041	defense	128	1693	791
2020-06-07 11:14:01	34882481	731727	1693	791	338	1193	attack	128	76	792
2020-06-07 11:14:08	34882482	574262	1611	792	110	171	defense	128	1611	792
2020-06-07 11:14:28	34882483	722244	1693	791	349	10000	conquer	128	1523	790
2020-06-07 11:14:29	34882485	639366	1386	791	205	1292	attack	128	1332	792
2020-06-07 11:14:31	34882486	574262	1611	792	110	194	defense	128	1611	792
2020-06-07 11:14:40	34882487	591146	1693	791	218	3517	defense	128	1693	791
2020-06-07 11:15:00	34882491	574262	1611	792	110	551	defense	128	1611	792
2020-06-07 11:15:14	34882492	715662	1523	790	450	1963	defense	128	1523	790
2020-06-07 11:15:48	34882495	639366	1386	791	205	768	conquer	128	1332	792
2020-06-07 11:16:05	34882497	731727	1693	791	338	1289	attack	128	76	792
2020-06-07 11:16:06	34882498	574262	1611	792	110	551	defense	128	1611	792
2020-06-07 11:16:07	34882499	591146	1693	791	218	3049	defense	128	1693	791
2020-06-07 11:16:46	34882503	574262	1611	792	110	940	defense	128	1611	792
2020-06-07 11:17:16	34882505	643945	1072	791	247	2358	attack	128	1523	790
2020-06-07 11:17:32	34882507	639366	1386	791	205	1061	defense	128	1386	791
2020-06-07 11:17:40	34882508	574262	1611	792	110	372	defense	128	1611	792
2020-06-07 11:18:13	34882512	731727	1693	791	338	1284	attack	128	76	792
2020-06-07 11:18:22	34882513	574262	1611	792	110	339	defense	128	1611	792
2020-06-07 11:18:23	34882514	153	26	790	151	7338	defense	128	26	790
2020-06-07 11:19:22	34882520	218668	1102	791	133	864	attack	128	76	792
2020-06-07 11:19:28	34882521	639366	1386	791	205	1164	defense	128	1386	791
